free,            "Displays the total amount of free space avaliable"
finger,            "It is a user information lookup command which gives details of all the users logged in"
find,            "Used to find files and directories and perform subsequent operations on them"
clear,            "Clears the terminal screen"
exit,            "Exits terminal"
echo,            "Used to display line of text that are passed as an argument"
grep,            "Searches a file for a particular pattern of characters, and displays all lines that contain that pattern"
df,            "Used to display information related to file systems about total space and avaliable space"
chown,            "Used to change the file Owner or Group"
alias,            "Instructs the shell to replace on string with another string while executing commands"
cat,            "Reads data from file and gives content as output"
chmod,            "Used to change the access mode of a file"
who,            "Used to get information about currently logged in user on to system"
top,            "Provides a dynamic real ime view of the running system"
kill,            "Used to terminate processes manually"
ps,            "Used to list the currently running processes and PIDs"
make,            "Compiles different program pieces and builds executable"
gcc,            "GNU Compiler Collections is used to compile mainly C and C++ language"
g++,            "Used for preprocessing, compilation, assembly, and linking source code to generate executable file"
man,            "Used to display the user manual of any command"
scp,            "Used to copy files between servers in a secure way"
ssh,            "Protocol used to securely connect to a remote server"
mv,            "Used to more one or more files or directories from one place to another"
cp,            "Used to copy files or groups of files or directory"
rm,            "Used to removed objects such as files"
rmdir,            "Used to remove empty directories from the filesystem in Linex"
ls,            "Lists contents of current directory"
cd,            "Changes current directory to one given"
mkdir,            "Makes a new directory within the current directory"
pwd,            "Prints the current working directory to the screen"
